,facility_id_API,facility_name_num,facility_type,field_name_num,location,operator_name_num,related_facilities,status
3392,05-123-43723,Razor                              29F-2040       ,WELL,WILDCAT                       99999,WELD                                123SENW   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX10/12/2016 
3393,05-123-43724,Razor                              29F-2038       ,WELL,WILDCAT                       99999,WELD                                123SENW   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX10/12/2016 
3394,05-123-43725,Razor                              29F-3238       ,WELL,WILDCAT                       99999,WELD                                123SENW   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX10/12/2016 
3395,05-123-43726,Razor                              29F-2039       ,WELL,WILDCAT                       99999,WELD                                123SENW   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX10/12/2016 
3396,05-123-43727,Razor                              29F-3240       ,WELL,WILDCAT                       99999,WELD                                123SENW   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX10/12/2016 
3397,05-123-40409,Razor                              29F-3205       ,WELL,WILDCAT                       99999,WELD                                123SENW   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX9/19/2016 
3398,05-123-40410,Razor                              29F-3206       ,WELL,WILDCAT                       99999,WELD                                123SENW   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX9/19/2016 
3399,05-123-40412,Razor                              29F-2008       ,WELL,WILDCAT                       99999,WELD                                123SENW   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX9/6/2016 
3400,05-123-40413,Razor                              29F-3208       ,WELL,WILDCAT                       99999,WELD                                123SENW   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX9/6/2016 
3401,05-123-40414,Razor                              29F-3207       ,WELL,WILDCAT                       99999,WELD                                123SENW   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX9/6/2016 
3402,05-123-40415,Razor                              29F-2005       ,WELL,WILDCAT                       99999,WELD                                123SENW   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX9/6/2016 
3403,05-123-40416,Razor                              29F-2006       ,WELL,WILDCAT                       99999,WELD                                123SENW   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX9/6/2016 
3404,05-123-44494,Razor Fed                          29G-2043       ,WELL,WILDCAT                       99999,WELD                                123SWNE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/24/2017 
3405,05-123-44495,Razor Fed                          29G-3209       ,WELL,WILDCAT                       99999,WELD                                123SWNE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/24/2017 
3406,05-123-44496,Razor Fed                          29G-3244       ,WELL,WILDCAT                       99999,WELD                                123SWNE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/24/2017 
3407,05-123-44497,Razor Fed                          29G-2012       ,WELL,WILDCAT                       99999,WELD                                123SWNE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/24/2017 
3408,05-123-44498,Razor Fed                          29G-2010       ,WELL,WILDCAT                       99999,WELD                                123SWNE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/24/2017 
3409,05-123-44499,Razor Fed                          29G-3210       ,WELL,WILDCAT                       99999,WELD                                123SWNE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/24/2017 
3410,05-123-44500,Razor Fed                          29G-3243       ,WELL,WILDCAT                       99999,WELD                                123SWNE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/24/2017 
3411,05-123-44501,Razor Fed                          29G-3212       ,WELL,WILDCAT                       99999,WELD                                123SWNE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/24/2017 
3412,05-123-44502,Razor Fed                          29G-2042       ,WELL,WILDCAT                       99999,WELD                                123SWNE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/24/2017 
3413,05-123-44503,Razor Fed                          29G-3211       ,WELL,WILDCAT                       99999,WELD                                123SWNE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/24/2017 
3414,05-123-44504,Razor Fed                          29G-2044       ,WELL,WILDCAT                       99999,WELD                                123SWNE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/24/2017 
3415,05-123-44505,Razor Fed                          29G-2009       ,WELL,WILDCAT                       99999,WELD                                123SWNE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/24/2017 
3416,05-123-44506,Razor Fed                          29G-2011       ,WELL,WILDCAT                       99999,WELD                                123SWNE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/24/2017 
3417,05-123-44507,Razor Fed                          29G-3242       ,WELL,WILDCAT                       99999,WELD                                123SWNE   29 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/24/2017 
3418,05-123-44488,Razor Fed                          30L-1934       ,WELL,WILDCAT                       99999,WELD                                123Lot 3  30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/21/2017 
3419,05-123-44489,Razor Fed                          30L-1935       ,WELL,WILDCAT                       99999,WELD                                123Lot 3  30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/21/2017 
3420,05-123-44490,Razor Fed                          30L-1936       ,WELL,WILDCAT                       99999,WELD                                123Lot 3  30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/21/2017 
3421,05-123-44491,Razor Fed                          30L-3136       ,WELL,WILDCAT                       99999,WELD                                123Lot 3  30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/21/2017 
3422,05-123-44493,Razor Fed                          30L-3135       ,WELL,WILDCAT                       99999,WELD                                123Lot 3  30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX7/19/2017 
3423,05-123-40135,Razor Fed                          30L-1903       ,WELL,WILDCAT                       99999,WELD                                123Lot 3  30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX1/3/2017 
3424,05-123-40136,Razor Fed                          30L-3104       ,WELL,WILDCAT                       99999,WELD                                123Lot 3  30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX1/3/2017 
3425,05-123-40137,Razor Fed                          30L-1904       ,WELL,WILDCAT                       99999,WELD                                123Lot 3  30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX1/3/2017 
3426,05-123-40138,Razor Fed                          30L-3103       ,WELL,WILDCAT                       99999,WELD                                123Lot 3  30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX1/3/2017 
3427,05-123-40483,Razor                              30I-3115       ,WELL,TERRACE SOUTH                 81550,WELD                                123NESE   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/3/2016 
3428,05-123-40484,Razor                              30I-3113       ,WELL,TERRACE SOUTH                 81550,WELD                                123NESE   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/3/2016 
3429,05-123-40485,Razor                              30I-3148       ,WELL,TERRACE SOUTH                 81550,WELD                                123NESE   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/3/2016 
3430,05-123-40486,Razor                              30I-1914       ,WELL,TERRACE SOUTH                 81550,WELD                                123NESE   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/3/2016 
3431,05-123-40487,Razor                              30I-1913       ,WELL,TERRACE SOUTH                 81550,WELD                                123NESE   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/3/2016 
3432,05-123-40481,Razor                              30I-3116       ,WELL,TERRACE SOUTH                 81550,WELD                                123NESE   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/3/2016 
3433,05-123-40489,Razor                              30I-3114       ,WELL,TERRACE SOUTH                 81550,WELD                                123NESE   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/3/2016 
3434,05-123-40492,Razor                              30I-1946       ,WELL,TERRACE SOUTH                 81550,WELD                                123NESE   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/3/2016 
3435,05-123-44065,Razor                              30I-1947       ,WELL,TERRACE SOUTH                 81550,WELD                                123NESE   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX1/9/2017 
3436,05-123-44066,Razor                              30I-3146       ,WELL,TERRACE SOUTH                 81550,WELD                                123NESE   30 10N   58w     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX1/9/2017 
3437,05-123-44067,Razor                              30I-3147       ,WELL,TERRACE SOUTH                 81550,WELD                                123NESE   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX1/9/2017 
3438,05-123-44526,Razor Fed                          30K-3140       ,WELL,WILDCAT                       99999,WELD                                123NESW   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/27/2017 
3439,05-123-44527,Razor Fed                          30K-3139       ,WELL,WILDCAT                       99999,WELD                                123NESW   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/27/2017 
3440,05-123-44528,Razor Fed                          30K-3138       ,WELL,WILDCAT                       99999,WELD                                123NESW   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/27/2017 
3441,05-123-44529,Razor Fed                          30K-1939       ,WELL,WILDCAT                       99999,WELD                                123NESW   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/27/2017 
3442,05-123-44530,Razor Fed                          30K-1940       ,WELL,WILDCAT                       99999,WELD                                123NESW   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/27/2017 
3443,05-123-44531,Razor Fed                          30K-1938       ,WELL,WILDCAT                       99999,WELD                                123NESW   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/27/2017 
3444,05-123-40210,Razor Fed                          30K-1906       ,WELL,WILDCAT                       99999,WELD                                123NESW   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX12/28/2016 
3445,05-123-40211,Razor Fed                          30K-1905       ,WELL,WILDCAT                       99999,WELD                                123NESW   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX12/28/2016 
3446,05-123-41690,Razor                              30J-3109       ,WELL,WILDCAT                       99999,WELD                                123NWSE   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX12/22/2016 
3447,05-123-41691,Razor Fed                          30J-1910       ,WELL,WILDCAT                       99999,WELD                                123NWSE   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX12/22/2016 
3448,05-123-41692,Razor Fed                          30J-1912       ,WELL,WILDCAT                       99999,WELD                                123NWSE   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX12/22/2016 
3449,05-123-41695,Razor                              30J-3110       ,WELL,WILDCAT                       99999,WELD                                123NWSE   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX12/22/2016 
3450,05-123-41696,Razor Fed                          30J-1911       ,WELL,WILDCAT                       99999,WELD                                123NWSE   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX12/22/2016 
3451,05-123-44465,Razor Fed                          30J-1942       ,WELL,WILDCAT                       99999,WELD                                123NWSE   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/19/2017 
3452,05-123-44466,Razor Fed                          30J-1943       ,WELL,WILDCAT                       99999,WELD                                123NWSE   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/19/2017 
3453,05-123-44467,Razor Fed                          30J-1944       ,WELL,WILDCAT                       99999,WELD                                123NWSE   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/19/2017 
3454,05-123-44469,Razor Fed                          30J-1909       ,WELL,WILDCAT                       99999,WELD                                123NWSE   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/19/2017 
3455,05-123-44470,Razor                              30J-3144       ,WELL,WILDCAT                       99999,WELD                                123NWSE   30 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX3/19/2017 
3456,05-123-36108,Razor                              32-2933H       ,WELL,WILDCAT                       99999,WELD                                123SWSE   32 10N   58W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX9/21/2012 
3457,05-123-44589,Wolf                               09D-2135       ,WELL,WILDCAT                       99999,WELD                                1234      9  10N   59W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX4/9/2017 
3458,05-123-43881,Wolf Fed                           11O-0244       ,WELL,WILDCAT                       99999,WELD                                123SWSE   11 10N   59W     6 ,WHITING OIL & GAS CORPORATION                     96155, ,XX11/27/2016 
