,Unnamed: 0,facility_id_API,facility_type,location,related_facilities,status,facility_name,facility_num,field_name,field_num,county,coord,operator_name,operator_num
54,54,05-001-10013,WELL,ADAMS                               001SWSE   25 1S    66W     6 , ,2017-04-06,ALMA 1S-66-2524,5NH,WATTENBERG,90750,ADAMS,                           001SWSE   25 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
55,55,05-001-10014,WELL,ADAMS                               001SWSE   25 1S    66W     6 , ,2017-04-06,ALMA 1S-66-2524,6NH,WATTENBERG,90750,ADAMS,                           001SWSE   25 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
56,56,05-001-10015,WELL,ADAMS                               001SWSE   25 1S    66W     6 , ,2017-04-06,ALMA 1S-66-2524,10CDH,WATTENBERG,90750,ADAMS,                           001SWSE   25 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
57,57,05-001-10016,WELL,ADAMS                               001SWSE   25 1S    66W     6 , ,2017-04-06,ALMA 1S-66-2524,17CDH,WATTENBERG,90750,ADAMS,                           001SWSE   25 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
58,58,05-001-10017,WELL,ADAMS                               001SWSE   25 1S    66W     6 , ,2017-04-06,ALMA 1S-66-2524,15NH,WATTENBERG,90750,ADAMS,                           001SWSE   25 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
59,59,05-001-10018,WELL,ADAMS                               001SWSE   25 1S    66W     6 , ,2017-04-06,ALMA 1S-66-2524,7CDH,WATTENBERG,90750,ADAMS,                           001SWSE   25 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
60,60,05-001-10019,WELL,ADAMS                               001SWSE   25 1S    66W     6 , ,2017-04-06,ALMA 1S-66-2524,14CDH,WATTENBERG,90750,ADAMS,                           001SWSE   25 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
61,61,05-001-10020,WELL,ADAMS                               001SWSE   25 1S    66W     6 , ,2017-04-06,ALMA 1S-66-2524,19NH,WATTENBERG,90750,ADAMS,                           001SWSE   25 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
62,62,05-001-10021,WELL,ADAMS                               001SWSE   25 1S    66W     6 , ,2017-04-06,ALMA 1S-66-2524,12NH,WATTENBERG,90750,ADAMS,                           001SWSE   25 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
63,63,05-001-10022,WELL,ADAMS                               001SWSE   25 1S    66W     6 , ,2017-04-06,ALMA 1S-66-2524,9NH,WATTENBERG,90750,ADAMS,                           001SWSE   25 1S    66W     6 ,EXTRACTION OIL & GAS INC,10459
